lauwarm                  lukewarm                    комнатной температуры/теплый(приём)
die Sauerei              mess/load of filth          беспорядок/свинарник
das Gestell              frame                       каркас
abfällig                 derogatory                  уничижительный(унижающий)
die Kehrseite            flip side                   другая сторона(в основном негативная)
leugnen                  to deny                     отрицать
der Napf                 bowl                        миска(для животных)
das Gerumpel             rumble                      трах трах трах звук
prall                    brimming/taut               заполнен/натянут
planschen                to be splashing             плескаться                   3000






sich abgeben mit         to deal with                иметь дело с чем-то что ты не считаешь достойным/хорошим
anstacheln               to spur on/motivate         подстрекать/мотивировать
jene(r/s/n/m)            that                        тот
der Leib                 body/stomach                тело/желудок
offenkundig              obviously                   очевидно
sich selbst              ---------------------       --------------------
 genügen                 to be self-sufficient       быть самодостаточным
der Aufsatz              thing that is above         что-то что стоит на чем то сверху
entschlüpfen             to escape                   сбегать
jemandem auf Trab        to get someone              --------------------------------------
 bringen                  moving                     подгонять кого-то/заставить шевилиться
die Heulsuse             crybaby                     плакса
trotzig                  defiant                     неповинующийся/показывающий своё недовольство
das Klimpern             clink/jingle                бреньчание/звон монет
bewerfen                 to pelt                     забрасывать
missmutig                sullen                      надувшийся(сердитый)
bummeln                  walk aimlessly              шляться наслаждаясь погодой
der Hecht                pike                        щюка
der Holzsplitter         splinter                    заноза
beteuern                 to assert                   утверждать
umgestürzt               fallen/overturned           поваленный
3020.die Adern           veines                      вены
das Gesträuch            bush                        куст
lieblich                 lovely                      милый
die Wonne                bliss                       блаженство
die Ausbeute             yield/gain                  сбор
der Sattel               saddle                      седло
fies                     disgusting/cunning          противный/подлый
das Besteck              cutlery                     столовые приборы
zwinkern                 to wink                     подмаргивать
wedeln                   to wave                     махать
das Zirpen               chirping                    цвериньканье
die Grille               cricket                     сверчок
wimmeln von              to be teeming with          кишить
das Kribbeln             tingle                      покалывание
der Schwindel            dizziness                   головокружение
sacht                    gentle                      нежный
hallen                   reverberate                 роздаваться ехом
entzwei gehen            to break                    ломатся
der Damm                 dam                         дамба
knuspern                 to crunch                   хрумтеть
3040.der Schwenk         direction change            измененение направления/поворот(камеры)
die Einstellung          shot                        дубль
sich angehen             to have to do with          касаться(это тебя не касается)
schwer von Begriff       to be slow on the           --------------
 zu sein                 uptake                      когда бошка не варит
das Autogramm            autograph                   автограф
stapfen                  to be stomping              шагать(медленно идти через снег/грязь)
zwirbeln                 to twirl                    прокручивать между пальцев
schnuppern               to sniff briefly            нюхнуть
kreischen                shriek/screech              вскрикнуть/звук тормозящих колес(поезда/машины)
schleudern               to hurl                     бросать
die Schleuder            a slingshot                 рогатка
der Kronkorken           bottle cap                  крышичка от пива
krabbeln                 to crawl                    ползать
ausspeien                to spit out                 выплюнуть
